Priority,NameIntent,Text,AudioRU_M,AudioKZ_M,AudioRU_F,AudioKZ_F,Intents,Next_audio,Duration_waiting,Finished,Language,BadRU_M,BadKZ_M,BadRU_F,BadKZ_F,OtherRU_M,OtherKZ_M,OtherRU_F,OtherKZ_F,Interrupting_strategy,reload_template,repeat,asr
43,utter_q11RU,У Вас получилось? / Вы смогли открыть карту? / Получилось открыть? / У Вас получилось? / Вы смогли закрыть карту? / Получилось закрыть? / У Вас получилось? / Вы смогли перевыпустить? / А теперь получилось? / Вы смогли проверить? / У вас получилось проверить?,-,-,"44_testtest_F_R, 47_testtest_F_R, 50_testtest_F_R, 45_testtest_F_R, 46_testtest_F_R, 48_testtest_F_R, 49_testtest_F_R, 51_testtest_F_R, 52_testtest_F_R, 53_testtest_F_R, 54_testtest_F_R","44_testtest_F_K, 47_testtest_F_K, 50_testtest_F_K, 45_testtest_F_K, 46_testtest_F_K, 48_testtest_F_K, 49_testtest_F_K, 51_testtest_F_K, 52_testtest_F_K, 53_testtest_F_K, 54_testtest_F_K",-,146,6,-,AudioRU,-,-,55_testtest_F_R,55_testtest_F_K,-,-,55_testtest_F_R,55_testtest_F_K,ASR,no,3,default_kz
44,utter_q11KZ,"Сіз жасай алдыңыз ба? / Сіз карта аша алдыңыз ба? / Аша алдыңыз ба? / Сіз жасай алдыңыз ба? / Сіз картаны жаба алдыңыз ба? / Жаба алдыңыз ба? / Сіз жасай алдыңыз ба? / Сіз картаны қайта шығара алдыңыз ба? / Ал, енді жасай алдыңыз ба? / Сіз тексере алдыңыз ба? / Тексеру сіздің қолыңыздан келді ме?",-,-,-,-,-,146,6,-,AudioKZ,-,-,55_testtest_F_R,55_testtest_F_K,-,-,55_testtest_F_R,55_testtest_F_K,ASR,no,3,default_kz
45,utter_goodRU,"Замечательно, теперь ваша карта готова к использованию. (короткая пауза) / Отлично, если захотите открыть новую карту, сможете это сделать также, в приложении. (короткая пауза) / Замечательно, теперь можете  пользоваться новой картой (короткая пауза) / Хорошо,",-,-,"56_testtest_F_R, 57_testtest_F_R, 58_testtest_F_R, 59_testtest_F_R","56_testtest_F_K, 57_testtest_F_K, 58_testtest_F_K, 59_testtest_F_K",-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
46,utter_goodKZ,"Тамаша, енді сіздің картаңыз пайдалануға дайын. / Тамаша, егер сіз жаңа карта ашқыңыз келсе, оны қосымшада да жасай аласыз. / Өте тамаша, енді картаны пайдалана аласыз. / Жақсы",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
47,utter_waitingInLineRU,"Отлично, я буду ждать на линии. / А я буду ждать Вас на линии.",-,-,"60_testtest_F_R, 61_testtest_F_R","60_testtest_F_K, 61_testtest_F_K",-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
48,utter_waitingInLineKZ,"Тамаша , мен сізді желіде күтемін / Ал мен сізді желіде күтетін боламын",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
49,utter_needPlasticCardRU,"После того как Вы оформите карту в приложении, можете выбрать бесплатную доставку и указать удобный для Вас адрес.",-,-,62_testtest_F_R,62_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
50,utter_needPlasticCardKZ,"Қосымшада картаны ресімдеп болған соң, тегін жеткізуді таңдап, өзіңізге ыңғайлы мекен жайды көрсете аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
51,utter_specialCardRU,"Поняла Вас, вы можете подойти в любое отделение Банка и наши менеджеры Вам помогут.",-,-,63_testtest_F_R,63_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
52,utter_specialCardKZ,"Мен сізді түсіндім, Сіз Банктің кез келген бөлімшесіне бара аласыз, біздің менеджерлер сізге көмектеседі.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
53,utter_phoneSupportRU,"Если хотите, могу сопроводить Вас по телефону,",-,-,64_testtest_F_R,64_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
54,utter_phoneSupportKZ,"Қаласаңыз, Мен сізге телефон арқылы кеңес беріп отырамын,",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
55,utter_q9RU,можете сейчас зайти в приложение?,-,-,65_testtest_F_R,65_testtest_F_K,-,146,6,-,AudioRU,-,-,66_testtest_F_R,66_testtest_F_K,-,-,66_testtest_F_R,66_testtest_F_K,ASR,no,3,default_kz
56,utter_q9KZ,сіз қазір қосымшаға кіре аласыз ба?,-,-,-,-,-,146,6,-,AudioKZ,-,-,66_testtest_F_R,66_testtest_F_K,-,-,66_testtest_F_R,66_testtest_F_K,ASR,no,3,default_kz
57,utter_waitingRU,"Хорошо, жду",-,-,67_testtest_F_R,67_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
58,utter_waitingKZ,"Жақсы, күтемін",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
59,utter_howCloseCardRU,"Смотрите, закрыть карту можно , в приложении Halyk или в отделении банка с удостоверением личности.",-,-,68_testtest_F_R,68_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
60,utter_howCloseCardKZ,"Қараңыз, картаны Halyk қосымшасында немесе жеке куәлігіңізбен банк бөлімшесінде жабуға болады.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
61,utter_q19RU,Скажите каким способом Вам удобнее закрыть карту?,-,-,69_testtest_F_R,69_testtest_F_K,-,146,6,-,AudioRU,-,-,70_testtest_F_R,70_testtest_F_K,-,-,70_testtest_F_R,70_testtest_F_K,ASR,no,3,default_kz
62,utter_q19KZ,"Айтыңызшы, Сізге картаны қалай жапқан ыңғайлы?",-,-,-,-,-,146,6,-,AudioKZ,-,-,70_testtest_F_R,70_testtest_F_K,-,-,70_testtest_F_R,70_testtest_F_K,ASR,no,3,default_kz
63,utter_cardClosureConditionsRU,"Должна сказать (пауза), что карту нельзя закрыть в приложении, если карта одна, или на ней есть деньги, еще если по карте одна или несколько дополнительных карт, или есть арест, долг и другие ограничения, также если счет по карте привязан к действующему депозитному или кредитному договору, или на дебетовой карте есть кредитный лимит.",-,-,71_testtest_F_R,71_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
64,utter_cardClosureConditionsKZ,"Егер карта біреу болса немесе картада ақша болса, сонымен қатар картада бір немесе бірнеше қосымша карталар болса немесе тыйым салу, қарыз және басқа шектеулер болса, сондай-ақ карта шоты қолданыстағы депозитке немесе кредит шартына байланыстырылған болса немесе дебеттік картада кредит лимиті болса, онда картаны қосымшада жабу мүмкін емес.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
65,utter_q20RU,"А в других случаях можете в приложении закрыть, я вам подскажу как, сможете сейчас туда зайти?",-,-,72_testtest_F_R,72_testtest_F_K,-,146,6,-,AudioRU,-,-,73_testtest_F_R,73_testtest_F_K,-,-,73_testtest_F_R,73_testtest_F_K,ASR,no,3,default_kz
66,utter_q20KZ,"Ал басқа жағдайларда қосымшада жаба аласыз, мен сізге көрсетейін, қазір оған кіре аласыз ба?",-,-,-,-,-,146,6,-,AudioKZ,-,-,73_testtest_F_R,73_testtest_F_K,-,-,73_testtest_F_R,73_testtest_F_K,ASR,no,3,default_kz
67,utter_cardClosureLimitsRU,"Смотрите (пауза), карту нельзя закрыть в приложении, если карта одна, или на ней есть деньги, еще если по карте одна или несколько дополнительных карт, или есть арест, долг и другие ограничения, также если счет по карте привязан к действующему депозитному или кредитному договору, или на дебетовой карте есть кредитный лимит.",-,-,74_testtest_F_R,74_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
68,utter_cardClosureLimitsKZ,"Қараңыз, егер карта біреу болса немесе онда ақша болса, картада тыйым салу, қарыз және басқа шектеулер болса, сондай-ақ карта шоты қолданыстағы депозит немесе кредит шартына байланыстырылған болса немесе дебеттік картада кредит лимиті болса, картаны қосымшада жабу мүмкін емес.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
69,utter_moneyOnTheCardRU,"Поняла Вас, тогда для закрытия карты, нужно полностью использовать деньги на карте. А потом сможете закрыть.",-,-,75_testtest_F_R,75_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
70,utter_moneyOnTheCardKZ,"Мен сізді түсіндім, онда картаны жабу үшін картадағы ақшаны толығымен пайдалану керек. Содан кейін жаба аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
71,utter_arestLimitsRU,"Поняла Вас, тогда для закрытия карты обратитесь пожалуйста в  любое отделение Банка.",-,-,76_testtest_F_R,76_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
72,utter_arestLimitsKZ,"Сізді түсіндім, онда картаны жабу үшін банктың кез келген бөлімшесіне жүгініңіз",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
73,utter_howReissueCardRU,А перевыпустить карту можно в отделении Банка или в приложении Halyk.,-,-,77_testtest_F_R,77_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
74,utter_howReissueCardKZ,Картаны Банк бөлімшесінде немесе Halyk қосымшасында қайта шығаруға болады.,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
75,utter_q12RU,"Давайте подскажу, как это сделать в приложении, согласны?",-,-,78_testtest_F_R,78_testtest_F_K,-,146,6,-,AudioRU,-,-,79_testtest_F_R,79_testtest_F_K,-,-,79_testtest_F_R,79_testtest_F_K,ASR,no,3,default_kz
76,utter_q12KZ,"Мұны қосымшада қалай жасау керектігін айтайын, жарай ма?",-,-,-,-,-,146,6,-,AudioKZ,-,-,79_testtest_F_R,79_testtest_F_K,-,-,79_testtest_F_R,79_testtest_F_K,ASR,no,3,default_kz
77,utter_justUnlockRU,"Если карта заблокирована по причине утери, кражи, мошеннических действий или истек срок годности, то разблокировать ее нельзя, только перевыпустить.",-,-,80_testtest_F_R,80_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
78,utter_justUnlockKZ,"Егер карта жоғалуына, ұрлануына, алаяқтық әрекеттерге байланысты, немесе жарамдылық мерзімі өтіп кетуінен бұғатталған болса, онда оны бұғаттан шығару мүмкін емес, тек қайта шығару керек.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
79,utter_cardReplacementOptionsRU,"К сожалению, нет, старая карта будет не действительна, можете также заказать доставку новой карты в приложении, или перевыпустить ее в отделении Банка.",-,-,81_testtest_F_R,81_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
80,utter_cardReplacementOptionsKZ,"Өкінішке орай, жоқ, ескі карта жарамсыз болып қалады, сонымен қатар қосымшада жаңа картаны жеткізуге тапсырыс бере аласыз немесе оны Банк бөлімшесінде қайта шығара аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
81,utter_q14RU,"Хорошо, попробуйте перевыпустить карту после нашего разговора, а если будут вопросы, можете перезвонить к нам, согласны?",-,-,82_testtest_F_R,82_testtest_F_K,-,146,6,-,AudioRU,-,-,83_testtest_F_R,83_testtest_F_K,-,-,83_testtest_F_R,83_testtest_F_K,ASR,no,3,default_kz
82,utter_q14KZ,"Жақсы, әңгімемізден кейін картаны қайта шығарып көріңіз, егер сұрақтар туындаса, бізге қайта қоңырау шалуыңызға болады. Айтқандарыммен келісесіз бе?",-,-,-,-,-,146,6,-,AudioKZ,-,-,83_testtest_F_R,83_testtest_F_K,-,-,83_testtest_F_R,83_testtest_F_K,ASR,no,3,default_kz
83,utter_veryGoodRU,Отлично!,-,-,84_testtest_F_R,84_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
84,utter_veryGoodKZ,Өте жақсы!,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
85,utter_q15RU,"Скажите пожалуйста, вы оформили денежный кредит или товарный кредит или рассрочку?",-,-,85_testtest_F_R,85_testtest_F_K,-,146,6,-,AudioRU,-,-,86_testtest_F_R,86_testtest_F_K,-,-,86_testtest_F_R,86_testtest_F_K,ASR,no,3,default_kz
86,utter_q15KZ,"Айтыңызшы, сіз ақшалай кредитті немесе тауарлық кредитті әлде бөліп төлеуді ресімдедіңіз бе?",-,-,-,-,-,146,6,-,AudioKZ,-,-,86_testtest_F_R,86_testtest_F_K,-,-,86_testtest_F_R,86_testtest_F_K,ASR,no,3,default_kz
87,utter_brunchAddressRU,"Вы можете подойти в любое отделение Банка, а подобрать ближайший для себя адрес можете на сайте halykbank.kz, в разделе ""Банк на карте""",-,-,87_testtest_F_R,87_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
